key,context,swedish,englishUK,englishUS,status,translator,lastModified,notes,charCount
b2b.orders.ar_du_saker_pa_att_du_vill_avbryta_denna_bestallni,  const handleCancelOrder = async () => {     if (window.confirm('Är du säker på att du vill avbryta denna beställning?')) {       setCancelLoading(true);:OrderDetailPage.jsx,Är du säker på att du vill avbryta denna beställning?,,,new,,,From   const handleCancelOrder = async () => {     if (window.confirm('Är du säker på att du vill avbryta denna beställning?')) {       setCancelLoading(true);,53
b2b.orders.bestallningen_har_avbrutits,          setOrder(updatedOrder);           toast.success('Beställningen har avbrutits');         }:OrderDetailPage.jsx,Beställningen har avbrutits,,,new,,,From           setOrder(updatedOrder);           toast.success('Beställningen har avbrutits');         },27
b2b.orders.kunde_inte_avbryta_bestallningen,"        console.error('Error cancelling order:', err);         toast.error('Kunde inte avbryta beställningen');       } finally {:OrderDetailPage.jsx",Kunde inte avbryta beställningen,,,new,,,"From         console.error('Error cancelling order:', err);         toast.error('Kunde inte avbryta beställningen');       } finally {",32
b2b.orders.kunde_inte_uppdatera_orderstatus_,"      console.error('Error updating order status:', err);       toast.error('Kunde inte uppdatera orderstatus: ' + (err.message || ''));     } finally {:OrderDetailPage.jsx",Kunde inte uppdatera orderstatus:,,,new,,,"From       console.error('Error updating order status:', err);       toast.error('Kunde inte uppdatera orderstatus: ' + (err.message || ''));     } finally {",33
b2b.orders.b8_shield_protection_for_smartphones,"      name: 'B8 Shield',       description: 'B8 Shield protection for smartphones',       basePrice: order.prisInfo?.produktPris || 71.2,:OrderDetailPage.jsx",B8 Shield protection for smartphones,,,new,,,"From       name: 'B8 Shield',       description: 'B8 Shield protection for smartphones',       basePrice: order.prisInfo?.produktPris || 71.2,",36
b2b.orders.border_bordergray300_textgray700_px4_py2_roundedlg,                to=:/orders,border border-gray-300 text-gray-700 px-4 py-2 rounded-lg hover:bg-gray-50 transition-colors,,,new,,,From                 to=,92
b2b.orders.flex_flexcol_mdflexrow_justifybetween_itemsstart_m,      <div className=:max-w-6xl mx-auto bg-white rounded-lg shadow-md p-4 md:p-6,flex flex-col md:flex-row justify-between items-start md:items-center mb-6 space-y-4 md:space-y-0,,,new,,,From       <div className=,97
b2b.orders.flex_itemscenter_mb2,          <div className=:flex-1 min-w-0,flex items-center mb-2,,,new,,,From           <div className=,22
b2b.orders.wfull_mdwauto_flex_flexcol_mdflexrow_itemsstretch_,                     <div className=:w-full md:w-auto flex flex-col md:flex-row items-stretch md:items-center gap-3,w-full md:w-auto flex flex-col md:flex-row items-stretch md:items-center gap-3,,,new,,,From                      <div className=,78
b2b.orders.flex_itemscenter_justifycenter,            {isAdmin && order.status !== 'cancelled' && (               <div className=:flex items-center justify-center,flex items-center justify-center,,,new,,,From             {isAdmin && order.status !== 'cancelled' && (               <div className=,32
b2b.orders.wfull_mdwauto_bgred600_textwhite_px4_py3_mdpy2_rou,                disabled={cancelLoading}                 className=:w-full md:w-auto bg-red-600 text-white px-4 py-3 md:py-2 rounded-lg hover:bg-red-700 transition-colors disabled:opacity-50 disabled:cursor-not-allowed min-h-[48px] md:min-h-0 text-base md:text-sm font-medium,w-full md:w-auto bg-red-600 text-white px-4 py-3 md:py-2 rounded-lg hover:bg-red-700 transition-colors disabled:opacity-50 disabled:cursor-not-allowed min-h-[48px] md:min-h-0 text-base md:text-sm font-medium,,,new,,,From                 disabled={cancelLoading}                 className=,207
b2b.orders.avbryt_bestallning,              >                 {cancelLoading ? 'Avbryter...' : 'Avbryt beställning'}               </button>:OrderDetailPage.jsx,Avbryt beställning,,,new,,,From               >                 {cancelLoading ? 'Avbryter...' : 'Avbryt beställning'}               </button>,18
b2b.orders.flex_justifybetween_itemsstart_mb3,                <div key={index} className=:bg-gray-50 p-4 rounded-lg border border-gray-200,flex justify-between items-start mb-3,,,new,,,From                 <div key={index} className=,37
b2b.orders.flex_justifybetween_itemscenter,                  <div className=:mt-3 pt-3 border-t border-gray-300,flex justify-between items-center,,,new,,,From                   <div className=,33
b2b.orders.flex_flexcol_mdflexrow_justifybetween_itemsstretch,         <div className=:flex flex-col md:flex-row justify-between items-stretch md:items-center gap-4 mt-8,flex flex-col md:flex-row justify-between items-stretch md:items-center gap-4 mt-8,,,new,,,From          <div className=,82
b2b.orders.wfull_mdwauto_inlineflex_itemscenter_justifycenter,            to=:/orders,w-full md:w-auto inline-flex items-center justify-center px-4 py-3 md:py-2 border border-gray-300 rounded-lg text-blue-600 hover:text-blue-800 hover:bg-blue-50 font-medium min-h-[48px] md:min-h-0 text-base md:text-sm transition-colors,,,new,,,From             to=,234
b2b.orders.wfull_mdwauto_inlineflex_itemscenter_justifycenter,              to={`/orders/${orderId}/edit`}               className=:w-full md:w-auto inline-flex items-center justify-center bg-blue-600 text-white px-4 py-3 md:py-2 rounded-lg hover:bg-blue-700 transition-colors min-h-[48px] md:min-h-0 text-base md:text-sm font-medium,w-full md:w-auto inline-flex items-center justify-center bg-blue-600 text-white px-4 py-3 md:py-2 rounded-lg hover:bg-blue-700 transition-colors min-h-[48px] md:min-h-0 text-base md:text-sm font-medium,,,new,,,From               to={`/orders/${orderId}/edit`}               className=,201
b2b.orders.function,    // Handle Firestore Timestamp     if (dateValue && typeof dateValue.toDate === 'function') {       return dateValue.toDate();:OrderHistoryPage.jsx,function,,,new,,,From     // Handle Firestore Timestamp     if (dateValue && typeof dateValue.toDate === 'function') {       return dateValue.toDate();,8
b2b.orders.okant_datum,    try {       if (!date) return 'Okänt datum';       :OrderHistoryPage.jsx,Okänt datum,,,new,,,From     try {       if (!date) return 'Okänt datum';       ,11
b2b.orders.vantar_pa_bekraftelse,"      case 'pending':         return { text: 'Väntar på bekräftelse', color: 'bg-yellow-100 text-yellow-800' };       case 'confirmed'::OrderHistoryPage.jsx",Väntar på bekräftelse,,,new,,,"From       case 'pending':         return { text: 'Väntar på bekräftelse', color: 'bg-yellow-100 text-yellow-800' };       case 'confirmed':",21
b2b.orders.bekraftad,"      case 'confirmed':         return { text: 'Bekräftad', color: 'bg-blue-100 text-blue-800' };       case 'processing'::OrderHistoryPage.jsx",Bekräftad,,,new,,,"From       case 'confirmed':         return { text: 'Bekräftad', color: 'bg-blue-100 text-blue-800' };       case 'processing':",9
b2b.orders.under_behandling,"      case 'processing':         return { text: 'Under behandling', color: 'bg-purple-100 text-purple-800' };       case 'shipped'::OrderHistoryPage.jsx",Under behandling,,,new,,,"From       case 'processing':         return { text: 'Under behandling', color: 'bg-purple-100 text-purple-800' };       case 'shipped':",16
b2b.orders.bgindigo100_textindigo800,"      case 'shipped':         return { text: 'Skickad', color: 'bg-indigo-100 text-indigo-800' };       case 'delivered'::OrderHistoryPage.jsx",bg-indigo-100 text-indigo-800,,,new,,,"From       case 'shipped':         return { text: 'Skickad', color: 'bg-indigo-100 text-indigo-800' };       case 'delivered':",29
b2b.orders.avbruten,"      case 'cancelled':         return { text: 'Avbruten', color: 'bg-red-100 text-red-800' };       default::OrderHistoryPage.jsx",Avbruten,,,new,,,"From       case 'cancelled':         return { text: 'Avbruten', color: 'bg-red-100 text-red-800' };       default:",8
b2b.orders.okand_status,"      default:         return { text: 'Okänd status', color: 'bg-gray-100 text-gray-800' };     }:OrderHistoryPage.jsx",Okänd status,,,new,,,"From       default:         return { text: 'Okänd status', color: 'bg-gray-100 text-gray-800' };     }",12
b2b.orders.flex_flexcol_smflexrow_justifybetween_itemsstart_s,      <div className=:max-w-6xl mx-auto bg-white rounded-lg shadow-md p-4 md:p-6,flex flex-col sm:flex-row justify-between items-start sm:items-center gap-4 mb-6,,,new,,,From       <div className=,80
b2b.orders.wfull_smwauto_bgblue600_textwhite_px4_py3_mdpy2_ro,            to=:/order,w-full sm:w-auto bg-blue-600 text-white px-4 py-3 md:py-2 rounded-lg hover:bg-blue-700 transition-colors text-center font-medium min-h-[48px] md:min-h-0 flex items-center justify-center,,,new,,,From             to=,185
b2b.orders.inlineblock_h8_w8_animatespin_roundedfull_border4_,          <div className=:py-12 text-center,inline-block h-8 w-8 animate-spin rounded-full border-4 border-solid border-blue-600 border-r-transparent,,,new,,,From           <div className=,105
